model_type,clf,parameters,auc-roc,r_at_5,r_at_10,r_at_20,r_at_30,r_at_35,r_at_40,p_at_5,p_at_10,p_at_20,p_at_30,p_at_35,p_at_40
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.712873509,0.060191518,0.132010944,0.274281806,0.39876881,0.47127223,0.541039672,0.598639456,0.654237288,0.678510998,0.657271702,0.666344294,0.669204738
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.712811057,0.055403557,0.136798906,0.270861833,0.39876881,0.469904241,0.534883721,0.551020408,0.677966102,0.670050761,0.657271702,0.664410058,0.661590525
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.712238012,0.056087551,0.132694938,0.266757866,0.39876881,0.471956224,0.539671683,0.557823129,0.657627119,0.659898477,0.657271702,0.667311412,0.66751269
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.712186083,0.053351573,0.136798906,0.279753762,0.399452804,0.471956224,0.536935705,0.530612245,0.677966102,0.692047377,0.658399098,0.667311412,0.664128596
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.712174188,0.053351573,0.136798906,0.274281806,0.399452804,0.474692202,0.53625171,0.530612245,0.677966102,0.678510998,0.658399098,0.671179884,0.663282572
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.712135756,0.056087551,0.136798906,0.279753762,0.399452804,0.471956224,0.534883721,0.557823129,0.677966102,0.692047377,0.658399098,0.667311412,0.661590525
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.712079023,0.055403557,0.136798906,0.272229822,0.399452804,0.471956224,0.53625171,0.551020408,0.677966102,0.673434856,0.658399098,0.667311412,0.663282572
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.711746176,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.711746176,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.711746176,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.711272184,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.711272184,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.711272184,0.055403557,0.136798906,0.239398085,0.374145007,0.474692202,0.555403557,0.551020408,0.677966102,0.592216582,0.616685457,0.671179884,0.686971235
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.711115483,0.07250342,0.139534884,0.205198358,0.407660739,0.47127223,0.562243502,0.721088435,0.691525424,0.507614213,0.671927847,0.666344294,0.695431472
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.710630739,0.056087551,0.136798906,0.270177839,0.404240766,0.47127223,0.533515732,0.557823129,0.677966102,0.668358714,0.666290868,0.666344294,0.659898477
