model_type,clf,parameters,auc-roc,r_at_5,r_at_10,r_at_20,r_at_30,r_at_35,r_at_40,p_at_5,p_at_10,p_at_20,p_at_30,p_at_35,p_at_40
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.658856253,0.007142857,0.007142857,0.357142857,0.457142857,0.457142857,0.457142857,0.006622517,0.003311258,0.082644628,0.070484581,0.060377358,0.052848885
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.658335806,0.071428571,0.185714286,0.321428571,0.435714286,0.507142857,0.557142857,0.066225166,0.086092715,0.074380165,0.067180617,0.066981132,0.064409579
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.65790313,0.085714286,0.185714286,0.3,0.442857143,0.507142857,0.564285714,0.079470199,0.086092715,0.069421488,0.068281938,0.066981132,0.065235343
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.65764847,0.078571429,0.128571429,0.292857143,0.457142857,0.492857143,0.578571429,0.072847682,0.059602649,0.067768595,0.070484581,0.06509434,0.06688687
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.656849874,0.092857143,0.157142857,0.321428571,0.457142857,0.507142857,0.571428571,0.086092715,0.072847682,0.074380165,0.070484581,0.066981132,0.066061107
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.655902932,0.064285714,0.178571429,0.307142857,0.45,0.507142857,0.578571429,0.059602649,0.082781457,0.07107438,0.06938326,0.066981132,0.06688687
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.655666815,0.078571429,0.164285714,0.321428571,0.435714286,0.507142857,0.542857143,0.072847682,0.07615894,0.074380165,0.067180617,0.066981132,0.062758051
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.654862038,0.071428571,0.185714286,0.321428571,0.435714286,0.5,0.557142857,0.066225166,0.086092715,0.074380165,0.067180617,0.066037736,0.064409579
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.65472111,0.085714286,0.185714286,0.307142857,0.428571429,0.485714286,0.557142857,0.079470199,0.086092715,0.07107438,0.066079295,0.064150943,0.064409579
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.654130198,0.092857143,0.178571429,0.285714286,0.442857143,0.507142857,0.571428571,0.086092715,0.082781457,0.066115702,0.068281938,0.066981132,0.066061107
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.653906443,0.085714286,0.185714286,0.3,0.45,0.507142857,0.55,0.079470199,0.086092715,0.069421488,0.06938326,0.066981132,0.063583815
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.653324185,0.071428571,0.185714286,0.3,0.435714286,0.5,0.557142857,0.066225166,0.086092715,0.069421488,0.067180617,0.066037736,0.064409579
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.653034911,0.071428571,0.185714286,0.3,0.435714286,0.5,0.557142857,0.066225166,0.086092715,0.069421488,0.067180617,0.066037736,0.064409579
RF,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=50, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.649745339,0.064285714,0.185714286,0.285714286,0.471428571,0.514285714,0.564285714,0.059602649,0.086092715,0.066115702,0.072687225,0.067924528,0.065235343
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.643668101,0.078571429,0.078571429,0.314285714,0.414285714,0.414285714,0.435714286,0.072847682,0.036423841,0.072727273,0.063876652,0.054716981,0.050371594
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.643668101,0.078571429,0.078571429,0.314285714,0.414285714,0.414285714,0.435714286,0.072847682,0.036423841,0.072727273,0.063876652,0.054716981,0.050371594
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.643668101,0.078571429,0.078571429,0.314285714,0.414285714,0.414285714,0.435714286,0.072847682,0.036423841,0.072727273,0.063876652,0.054716981,0.050371594
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'uniform'}",0.642528309,0.085714286,0.135714286,0.321428571,0.464285714,0.464285714,0.464285714,0.079470199,0.062913907,0.074380165,0.071585903,0.061320755,0.053674649
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 50, 'weights': 'uniform'}",0.642528309,0.085714286,0.135714286,0.321428571,0.464285714,0.464285714,0.464285714,0.079470199,0.062913907,0.074380165,0.071585903,0.061320755,0.053674649
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.64230579,0.042857143,0.042857143,0.292857143,0.414285714,0.414285714,0.442857143,0.039735099,0.01986755,0.067768595,0.063876652,0.054716981,0.051197358
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.64230579,0.042857143,0.042857143,0.292857143,0.414285714,0.414285714,0.442857143,0.039735099,0.01986755,0.067768595,0.063876652,0.054716981,0.051197358
DT,"DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='entropy',
                       max_depth=100, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best')","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.64230579,0.042857143,0.042857143,0.292857143,0.414285714,0.414285714,0.442857143,0.039735099,0.01986755,0.067768595,0.063876652,0.054716981,0.051197358
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 50, 'weights': 'uniform'}",0.641829847,0.085714286,0.135714286,0.321428571,0.464285714,0.464285714,0.464285714,0.079470199,0.062913907,0.074380165,0.071585903,0.061320755,0.053674649
